<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130729,000000,0.92811,0.93220,0.92696,0.93095,35940
20130730,000000,0.93091,0.93245,0.92731,0.92957,37815
20130731,000000,0.92957,0.93367,0.92281,0.92593,50420
20130801,000000,0.92593,0.93720,0.92530,0.93670,44204
20130802,000000,0.93671,0.93894,0.92741,0.92885,45392
20130805,000000,0.92885,0.93326,0.92691,0.92721,38720
20130806,000000,0.92712,0.92960,0.92380,0.92565,42272
20130807,000000,0.92567,0.92883,0.92072,0.92152,48910
20130808,000000,0.92151,0.92292,0.91750,0.92004,43161
20130809,000000,0.92002,0.92292,0.91904,0.92165,35559
20130812,000000,0.92381,0.92846,0.92164,0.92554,35955
20130813,000000,0.92552,0.93484,0.92552,0.93278,44419
20130814,000000,0.93279,0.93773,0.93236,0.93538,41747
20130815,000000,0.93552,0.93961,0.92469,0.92591,54683
20130816,000000,0.92588,0.92876,0.92168,0.92622,45772
20130819,000000,0.92583,0.92848,0.92280,0.92385,38542
20130820,000000,0.92388,0.92507,0.91468,0.91721,48141
20130821,000000,0.91720,0.92349,0.91622,0.92209,47009
20130822,000000,0.92218,0.92895,0.92191,0.92316,44102
20130823,000000,0.92298,0.92633,0.91895,0.92100,44844
20130826,000000,0.92099,0.92462,0.92044,0.92290,29174
20130827,000000,0.92288,0.92296,0.91709,0.91737,45327
20130828,000000,0.91743,0.92347,0.91704,0.92207,44433
20130829,000000,0.92190,0.93210,0.92168,0.93076,44096
20130830,000000,0.93079,0.93321,0.92889,0.92922,42752
20130902,000000,0.93143,0.93489,0.93102,0.93426,32397
20130903,000000,0.93427,0.93823,0.93403,0.93641,41385
20130904,000000,0.93641,0.93823,0.93475,0.93520,35282
20130905,000000,0.93528,0.94550,0.93514,0.94479,41232
20130906,000000,0.94478,0.94552,0.93458,0.93760,38910
20130909,000000,0.93894,0.93917,0.93012,0.93234,32642
20130910,000000,0.93226,0.93662,0.93163,0.93466,34983
20130911,000000,0.93466,0.93708,0.92849,0.93023,35338
20130912,000000,0.93027,0.93354,0.92715,0.93046,37079
20130913,000000,0.93046,0.93406,0.92801,0.92955,34696
20130916,000000,0.92305,0.92776,0.92280,0.92722,32779
20130917,000000,0.92717,0.92787,0.92520,0.92575,28611
20130918,000000,0.92575,0.92681,0.91087,0.91199,39527
20130919,000000,0.91182,0.91375,0.90895,0.91041,43971
20130920,000000,0.91040,0.91264,0.90886,0.91003,33887
20130923,000000,0.90851,0.91292,0.90836,0.91082,32291
20130924,000000,0.91074,0.91326,0.90985,0.91260,32698
20130925,000000,0.91254,0.91370,0.90779,0.90909,29973
20130926,000000,0.90907,0.91167,0.90870,0.91015,32720
20130927,000000,0.91009,0.91102,0.90205,0.90552,32911
20130930,000000,0.90599,0.90683,0.90248,0.90481,33675
20131001,000000,0.90481,0.90750,0.89923,0.90538,40965
20131002,000000,0.90533,0.90771,0.89943,0.90262,40350
20131003,000000,0.90264,0.90332,0.89673,0.89929,41816
20131004,000000,0.89931,0.90816,0.89780,0.90692,37556
20131007,000000,0.90651,0.90696,0.90159,0.90276,31563
20131008,000000,0.90267,0.90657,0.90226,0.90376,34736
20131009,000000,0.90380,0.91276,0.90154,0.90992,41071
20131010,000000,0.90966,0.91309,0.90823,0.91147,35551
20131011,000000,0.91145,0.91315,0.90696,0.91133,33785
20131014,000000,0.90915,0.91217,0.90638,0.91016,26347
20131015,000000,0.91016,0.91778,0.90925,0.91236,40219
20131016,000000,0.91232,0.91752,0.90978,0.91324,40251
20131017,000000,0.91319,0.91462,0.90079,0.90228,43988
20131018,000000,0.90227,0.90368,0.90042,0.90150,32553
20131021,000000,0.90178,0.90446,0.90054,0.90193,30168
20131022,000000,0.90192,0.90392,0.89398,0.89468,34270
