<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130717,000000,1291.54,1300.57,1270.16,1275.58,66657
20130718,000000,1274.25,1288.64,1274.14,1283.88,57274
20130719,000000,1283.14,1297.86,1282.34,1295.59,51518
20130722,000000,1297.08,1339.32,1295.88,1335.53,55179
20130723,000000,1334.72,1346.69,1326.71,1344.93,59854
20130724,000000,1347.32,1347.38,1313.08,1321.94,63225
20130725,000000,1321.22,1337.82,1308.87,1333.45,60865
20130726,000000,1332.72,1340.72,1312.35,1333.08,59056
20130729,000000,1333.18,1338.33,1322.87,1327.98,54535
20130730,000000,1326.78,1330.10,1317.65,1326.03,48234
20130731,000000,1326.07,1339.11,1305.96,1324.72,69305
20130801,000000,1323.23,1331.02,1307.76,1310.08,59313
20130802,000000,1308.09,1318.35,1283.09,1311.52,62537
20130805,000000,1312.19,1320.72,1297.43,1302.70,49279
20130806,000000,1302.37,1306.98,1279.29,1282.83,58816
20130807,000000,1281.82,1289.39,1272.74,1287.13,54993
20130808,000000,1286.87,1314.34,1282.97,1313.03,59806
20130809,000000,1312.02,1317.24,1304.99,1314.12,52448
20130812,000000,1315.00,1343.94,1314.70,1338.18,61998
20130813,000000,1336.57,1341.40,1318.88,1321.33,68357
20130814,000000,1320.58,1336.30,1315.87,1335.78,62120
20130815,000000,1335.82,1370.03,1318.83,1365.88,75135
20130816,000000,1365.47,1379.58,1357.72,1376.53,72750
20130819,000000,1378.67,1384.38,1362.47,1365.63,60859
20130820,000000,1364.79,1377.55,1352.32,1370.96,61292
20130821,000000,1370.77,1379.01,1359.74,1366.30,65096
20130822,000000,1365.67,1381.75,1355.06,1375.70,63828
20130823,000000,1375.18,1399.97,1368.59,1397.41,58534
20130826,000000,1398.48,1406.78,1389.50,1404.38,55499
20130827,000000,1404.58,1423.73,1395.71,1414.82,66450
20130828,000000,1415.38,1433.67,1413.30,1417.25,69510
20130829,000000,1417.87,1418.25,1402.50,1407.53,66478
20130830,000000,1406.72,1411.23,1392.12,1394.91,58451
20130902,000000,1393.21,1398.25,1373.76,1392.09,38854
20130903,000000,1391.87,1416.29,1384.44,1412.08,55289
20130904,000000,1411.33,1414.92,1384.66,1391.46,56163
20130905,000000,1390.82,1399.84,1364.74,1367.23,58653
20130906,000000,1366.43,1393.32,1358.42,1391.63,51643
20130909,000000,1390.17,1394.53,1382.03,1386.68,38657
20130910,000000,1386.94,1391.07,1357.79,1363.50,45781
20130911,000000,1362.93,1368.51,1356.64,1365.04,43005
20130912,000000,1365.43,1366.03,1320.52,1321.62,59233
20130913,000000,1321.71,1330.78,1304.84,1326.08,60999
20130916,000000,1334.15,1334.80,1303.00,1312.54,59023
20130917,000000,1311.11,1323.85,1306.23,1310.07,50862
20130918,000000,1308.76,1367.51,1291.73,1363.56,68788
20130919,000000,1361.16,1375.17,1358.62,1365.90,62844
20130920,000000,1366.08,1368.23,1324.71,1324.81,59832
20130923,000000,1326.26,1331.88,1313.58,1322.38,59185
20130924,000000,1320.88,1329.24,1305.84,1322.83,63439
20130925,000000,1322.11,1338.01,1316.63,1333.93,59684
20130926,000000,1331.81,1339.26,1318.80,1323.58,59339
20130927,000000,1322.16,1344.09,1319.76,1335.46,64889
20130930,000000,1342.19,1352.41,1322.74,1328.59,50740
20131001,000000,1326.52,1337.46,1282.41,1287.15,62492
20131002,000000,1285.67,1323.82,1277.86,1315.72,64745
20131003,000000,1314.97,1322.28,1302.07,1316.36,59982
20131004,000000,1315.62,1325.18,1305.81,1310.17,50954
20131007,000000,1311.37,1328.97,1308.51,1322.78,61753
20131008,000000,1321.42,1329.95,1315.83,1318.82,77160
20131009,000000,1317.97,1321.91,1294.76,1305.34,84793
20131010,000000,1303.62,1311.73,1282.03,1287.09,77381
20131011,000000,1285.27,1294.47,1262.12,1271.37,86783
20131014,000000,1276.82,1290.01,1268.63,1272.01,84224
20131015,000000,1272.99,1288.03,1251.59,1282.02,94075
20131016,000000,1280.22,1288.22,1269.22,1282.17,87896
