<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20000401,000000,278.00,288.25,272.60,273.10,13488
20000501,000000,274.50,282.30,268.70,272.10,12028
20000601,000000,271.20,293.62,271.00,288.80,17221
20000701,000000,288.10,289.60,276.05,277.00,9646
20000801,000000,276.45,278.60,270.00,277.70,10328
20000901,000000,277.00,278.95,268.25,274.00,10156
20001001,000000,273.60,277.10,261.85,264.25,11826
20001101,000000,263.95,271.35,262.85,270.20,9647
20001201,000000,269.70,276.45,267.80,272.00,8915
20010101,000000,271.75,273.00,261.70,266.05,10485
20010201,000000,265.10,269.12,253.50,266.90,10084
20010301,000000,266.40,274.60,256.75,257.70,11852
20010401,000000,257.30,266.45,254.20,263.80,9411
20010501,000000,263.30,298.00,263.25,265.60,17847
20010601,000000,265.10,278.55,264.25,270.60,13756
20010701,000000,270.10,271.85,264.00,266.60,8987
20010801,000000,266.10,280.70,265.75,274.20,11983
20010901,000000,273.95,295.10,270.45,292.95,20967
20011001,000000,291.50,293.62,273.95,279.25,14529
20011101,000000,278.75,282.50,271.70,274.65,9467
20011201,000000,274.15,281.75,270.95,279.20,9262
20020101,000000,278.20,289.00,276.55,282.95,11395
20020201,000000,282.20,308.30,281.45,296.30,16289
20020301,000000,295.80,304.27,287.40,302.25,10566
20020401,000000,301.75,312.00,296.75,308.20,12691
20020501,000000,307.70,329.25,305.95,326.30,15489
20020601,000000,325.80,331.15,309.90,314.20,17040
20020701,000000,313.70,325.40,300.50,303.30,16859
20020801,000000,302.80,317.50,298.45,312.50,15292
20020901,000000,312.00,328.30,310.90,324.17,22952
20021001,000000,323.50,324.72,308.50,317.77,25501
20021101,000000,317.75,325.40,315.62,317.90,26336
20021201,000000,318.47,354.72,315.70,347.80,34568
20030101,000000,347.30,374.22,342.11,368.15,55164
20030201,000000,368.15,388.75,341.00,349.95,55057
20030301,000000,349.50,358.60,325.49,336.55,44959
20030401,000000,337.11,340.35,318.88,338.55,41919
20030501,000000,339.45,375.02,337.70,364.85,46321
