<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20110522,000000,1511.07,1538.29,1503.85,1536.12,232404
20110529,000000,1536.12,1550.40,1519.43,1541.92,200556
20110605,000000,1543.42,1553.47,1525.88,1531.27,202923
20110612,000000,1529.58,1542.06,1510.66,1539.17,229690
20110619,000000,1540.05,1558.12,1498.30,1502.37,209868
20110626,000000,1500.87,1513.91,1477.99,1487.52,203704
20110703,000000,1495.42,1545.47,1493.18,1543.92,147598
20110710,000000,1543.57,1594.37,1540.67,1593.37,234741
20110717,000000,1593.02,1609.93,1581.03,1601.17,227925
20110724,000000,1608.67,1632.62,1602.93,1626.87,209334
20110731,000000,1606.62,1682.07,1606.62,1663.52,301908
20110807,000000,1687.67,1814.18,1682.37,1746.52,422367
20110814,000000,1742.53,1877.67,1728.05,1851.62,299314
20110821,000000,1871.62,1911.97,1702.96,1827.47,472696
20110828,000000,1834.98,1884.47,1775.77,1882.57,334474
20110904,000000,1877.87,1920.68,1792.55,1855.32,377685
20110911,000000,1857.81,1861.28,1762.57,1811.52,388816
20110918,000000,1815.43,1827.68,1628.87,1656.12,399075
20110925,000000,1656.41,1677.17,1531.94,1623.57,474215
20111002,000000,1625.81,1678.35,1595.77,1637.41,369000
20111009,000000,1638.47,1692.08,1637.97,1680.52,300922
20111016,000000,1682.18,1694.83,1603.62,1641.87,346677
20111023,000000,1641.63,1752.39,1635.47,1742.97,318245
20111030,000000,1742.86,1767.58,1681.05,1754.18,326592
20111106,000000,1753.31,1802.97,1735.40,1788.26,312345
20111113,000000,1788.82,1796.06,1710.42,1723.55,328714
20111120,000000,1723.52,1726.45,1666.57,1680.12,313503
20111127,000000,1684.11,1763.03,1682.58,1746.12,324671
20111204,000000,1746.92,1756.08,1701.95,1711.01,349390
20111211,000000,1712.44,1714.70,1560.21,1598.60,410150
20111218,000000,1600.71,1641.71,1583.29,1606.67,295388
20111225,000000,1606.83,1607.13,1522.65,1564.47,218059
20120101,000000,1569.09,1631.15,1566.03,1617.19,290826
20120108,000000,1615.36,1662.00,1605.06,1639.38,356033
20120115,000000,1634.74,1670.05,1631.45,1666.14,326684
20120122,000000,1664.62,1739.75,1649.03,1738.48,308848
20120129,000000,1736.34,1763.19,1716.17,1725.84,363774
20120205,000000,1727.83,1752.60,1704.66,1721.47,330501
20120212,000000,1727.96,1737.32,1705.28,1723.06,316453
20120219,000000,1726.65,1787.35,1726.00,1771.99,269309
20120226,000000,1774.19,1790.61,1685.96,1712.20,338983
20120304,000000,1711.07,1716.71,1662.86,1713.71,326145
20120311,000000,1714.92,1716.00,1634.46,1659.31,327367
20120318,000000,1659.24,1669.78,1628.05,1661.26,329264
20120325,000000,1662.54,1697.00,1645.10,1667.56,350973
20120401,000000,1670.99,1683.45,1612.34,1630.61,283599
20120408,000000,1642.57,1679.95,1631.80,1657.76,357281
20120415,000000,1654.02,1657.75,1631.10,1642.46,343811
20120422,000000,1641.15,1667.55,1623.21,1662.26,333157
20120429,000000,1662.73,1671.50,1626.47,1641.81,285440
20120506,000000,1639.56,1642.60,1572.47,1578.67,366607
20120513,000000,1582.72,1597.58,1526.98,1592.52,393764
20120520,000000,1590.36,1599.14,1533.31,1572.08,388029
20120527,000000,1573.67,1629.67,1531.02,1623.91,370776
20120603,000000,1625.41,1640.94,1554.32,1592.82,401235
20120610,000000,1601.55,1633.59,1581.73,1626.69,385656
20120617,000000,1628.69,1633.16,1558.09,1572.37,402588
20120624,000000,1572.05,1606.93,1548.00,1597.07,379596
20120701,000000,1598.94,1624.76,1576.45,1583.12,332618
20120708,000000,1581.05,1601.17,1554.94,1588.92,358440
20120715,000000,1590.85,1599.00,1567.73,1584.03,365297
20120722,000000,1580.35,1629.48,1563.19,1622.76,390805
20120729,000000,1623.37,1627.95,1584.55,1602.61,357700
20120805,000000,1604.42,1626.53,1602.21,1619.41,319332
20120812,000000,1621.50,1625.55,1589.92,1615.51,299174
20120819,000000,1615.65,1674.85,1609.78,1670.16,307633
20120826,000000,1671.85,1692.95,1645.90,1690.73,280511
20120902,000000,1690.55,1741.60,1685.39,1735.16,316926
20120909,000000,1735.39,1777.75,1716.71,1769.91,366161
20120916,000000,1771.27,1787.45,1751.95,1772.75,300636
20120923,000000,1772.14,1783.16,1736.31,1772.22,327878
20120930,000000,1770.97,1795.85,1763.36,1779.75,344577
20121007,000000,1779.56,1779.94,1752.12,1752.95,322720
20121014,000000,1753.27,1753.54,1716.01,1720.50,245820
20121021,000000,1719.83,1730.05,1698.44,1710.23,274172
20121028,000000,1711.65,1726.92,1674.62,1677.95,219105
20121104,000000,1676.34,1738.75,1672.51,1730.93,281221
20121111,000000,1731.72,1737.95,1704.80,1713.72,240991
